natureza
VISITA TÉCNICA
VISITA DE CS
VAREJO FÁCIL- BOLETO
VAREJO FACIL - TESORARIA
VAREJO FÁCIL - SINCRONIZAÇÃO
VAREJO FÁCIL - RENDIMENTO
VAREJO FACIL - RELATORIO/VENDA
VAREJO FACIL - RELATORIO/NOTAS FISCAIS
VAREJO FACIL - RELATORIO/CONT RECEBER
VAREJO FACIL - RELATORIO CONT A PAGAR
VAREJO FÁCIL - PARAMETROS FRENTE LOJA
VAREJO FÁCIL - NOTA FISCAL/SAIDA
VAREJO FÁCIL - NOTA FISCAL/ENTRADA
VAREJO FÁCIL - NIVEL DE ACESSO
VAREJO FÁCIL - INVENTÁRIO/LISTAGEM
VAREJO FÁCIL - INVENTÁRIO/FECHAMENTO
VAREJO FÁCIL - INVENTÁRIO/DIGITAÇÃO
VAREJO FÁCIL - INVENTÁRIO/ABERTURA
VAREJO FÁCIL - GERAÇÃO DE ARQUIVO FISCAL
VAREJO FACIL - FINANCEIRO
VAREJO FÁCIL - ESTOQUE/TIPO
VAREJO FÁCIL - ESTOQUE/RELATÓRIO
VAREJO FÁCIL - ESTOQUE/AJUSTE
VAREJO FÁCIL - ERRO DE SUBIDA DE VENDA
VAREJO FÁCIL - ENCARTES E PROMOÇÕES
VAREJO FÁCIL - CONTAS A RECEBER
VAREJO FÁCIL - CONTAS A PAGAR
VAREJO FÁCIL - CONTAS A PAGAR
VAREJO FACIL - CONTAS A PAGAR
VAREJO FÁCIL - CONFIGURAÇÃO/WEBCLIENT
VAREJO FÁCIL - COMUNICAÇÃO
VAREJO FÁCIL - CARTA DE CORREÇÃO
VAREJO FÁCIL - CARGA
VAREJO FÁCIL - CADASTRO/USUARIO
VAREJO FÁCIL - CADASTRO/SERIE
VAREJO FÁCIL - CADASTRO/PRODUTO
VAREJO FÁCIL - CADASTRO/LOJA
VAREJO FÁCIL - CADASTRO/IMP. FEDERAIS
VAREJO FÁCIL - CADASTRO/FORNECEDOR
VAREJO FÁCIL - CADASTRO/CLIENTE
Validação de Treinamento
SETUP TÉCNICO
SERVIÇO DE FORMATAÇÃO
SERVIÇO - LAYOUT DE ETIQUETA
SERVER- CONTROLE DE CARTÃO
SERVER- BOLETO
SERVER - TIRA TEIMA
SERVER - SYSPDV SERVICE
SERVER - SISTEMA NÃO ABRE
SERVER - RELATÓRIOS MOVIMENTOS
SERVER - RELATÓRIOS FLASH
SERVER - RELATÓRIOS  VENDAS
SERVER - RELATÓRIOS  PRODUTOS
SERVER - RELATÓRIOS  NOTAS FISCAIS
SERVER - RELATÓRIOS  FINANCEIRO
SERVER - RELATÓRIOS  ESTOQUE
SERVER - REDUÇÃO Z
SERVER - PRODUÇÃO
SERVER - PRE VENDAS
SERVER - PEDIDO DE VENDA
SERVER - PARAMETRIZAÇÃO
SERVER - NOTA FISCAL PRÓPRIA
SERVER - NOTA FISCAL DEVOLUÇÃO
SERVER - NOTA FISCAL DE SAIDA
